Rafaello  	1	M	bubblegum pink      	Healthy
Rafaello  	7	M	bubblegum pink      	Healthy
Ingemar   	7	M	cerulean blue       	Healthy
Victor    	7	M	blue with a hint of purple	Healthy
Junette   	7	F	deep sea blue       	Healthy
Joanna    	7	F	wintergreen         	Healthy
Deloria   	5	F	deep sea blue       	Healthy
Leticia   	5	F	wintergreen         	Healthy
Emlynne   	4	F	deep sea blue       	Healthy
Celka     	4	F	wintergreen         	Healthy
Gaven     	3	M	deep sea blue       	Healthy
Leigh     	3	F	wintergreen         	Healthy
Huntley   	3	M	deep sea blue       	Healthy
Orly      	3	F	wintergreen         	Healthy
Tiffani   	2	F	deep sea blue       	Healthy
Orrin     	2	M	wintergreen         	Healthy
Wenona    	2	F	deep sea blue       	Healthy
Bab       	2	F	wintergreen         	Healthy
Hercules  	2	M	deep sea blue       	Healthy
Shell     	2	F	wintergreen         	Healthy
Grange    	1	M	deep sea blue       	Healthy
Hamish    	1	M	wintergreen         	Healthy
Jordan    	1	F	deep sea blue       	Healthy
Carleen   	1	F	wintergreen         	Healthy
Aubrey    	1	M	deep sea blue       	Healthy
Niven     	1	M	wintergreen         	Healthy
Rosemaria 	1	F	wintergreen         	Healthy
Aluin     	1	M	wintergreen         	Healthy
Ulberto   	0	M	deep sea blue       	Healthy
Misha     	0	F	wintergreen         	Healthy
Leoine    	0	F	deep sea blue       	Healthy
Dayle     	0	F	wintergreen         	Healthy
Padget    	0	M	deep sea blue       	Healthy
Manfred   	0	M	wintergreen         	Healthy
Gordon    	0	M	wintergreen         	Healthy
Avril     	0	F	wintergreen         	Healthy
Orville   	0	M	deep sea blue       	Healthy
Kaylil    	0	F	deep sea blue       	Healthy
Denna     	0	F	wintergreen         	Healthy
Fay       	0	F	wintergreen         	Healthy
Rafaello  	8	M	bubblegum pink      	Healthy
Ingemar   	8	M	cerulean blue       	Healthy
Victor    	8	M	blue with a hint of purple	Healthy
Junette   	8	F	deep sea blue       	Healthy
Joanna    	8	F	wintergreen         	Healthy
Deloria   	6	F	deep sea blue       	Healthy
Leticia   	6	F	wintergreen         	Healthy
Emlynne   	5	F	deep sea blue       	Healthy
Celka     	5	F	wintergreen         	Healthy
Gaven     	4	M	deep sea blue       	Healthy
Leigh     	4	F	wintergreen         	Healthy
Huntley   	4	M	deep sea blue       	Healthy
Orly      	4	F	wintergreen         	Healthy
Tiffani   	3	F	deep sea blue       	Healthy
Orrin     	3	M	wintergreen         	Healthy
Wenona    	3	F	deep sea blue       	Healthy
Bab       	3	F	wintergreen         	Healthy
Hercules  	3	M	deep sea blue       	Healthy
Shell     	3	F	wintergreen         	Healthy
Grange    	2	M	deep sea blue       	Healthy
Hamish    	2	M	wintergreen         	Healthy
Jordan    	2	F	deep sea blue       	Healthy
Carleen   	2	F	wintergreen         	Healthy
Aubrey    	2	M	deep sea blue       	Healthy
Niven     	2	M	wintergreen         	Healthy
Rosemaria 	2	F	wintergreen         	Healthy
Aluin     	2	M	wintergreen         	Healthy
Ulberto   	1	M	deep sea blue       	Healthy
Misha     	1	F	wintergreen         	Healthy
Leoine    	1	F	deep sea blue       	Healthy
Dayle     	1	F	wintergreen         	Healthy
Padget    	1	M	deep sea blue       	Healthy
Manfred   	1	M	wintergreen         	Healthy
Gordon    	1	M	wintergreen         	Healthy
Avril     	1	F	wintergreen         	Healthy
Orville   	1	M	deep sea blue       	Healthy
Kaylil    	1	F	deep sea blue       	Healthy
Denna     	1	F	wintergreen         	Healthy
Fay       	1	F	wintergreen         	Healthy
Hermy     	0	M	deep sea blue       	Healthy
Bevon     	0	M	wintergreen         	Healthy
Dana      	0	M	deep sea blue       	Healthy
Lona      	0	F	wintergreen         	Healthy
Donelle   	0	F	deep sea blue       	Healthy
Joey      	0	F	wintergreen         	Healthy
Retha     	0	F	wintergreen         	Healthy
Ricki     	0	F	wintergreen         	Healthy
Salomo    	0	M	deep sea blue       	Healthy
Sherwood  	0	M	deep sea blue       	Healthy
Nariko    	0	F	wintergreen         	Healthy
Tiffany   	0	F	wintergreen         	Healthy
Timothea  	0	F	deep sea blue       	Healthy
Hershel   	0	M	wintergreen         	Healthy
Rory      	0	F	wintergreen         	Healthy
Rafaello  	9	M	bubblegum pink      	Healthy
Ingemar   	9	M	cerulean blue       	Healthy
Victor    	9	M	blue with a hint of purple	Healthy
Junette   	9	F	deep sea blue       	Healthy
Joanna    	9	F	wintergreen         	Healthy
Deloria   	7	F	deep sea blue       	Healthy
Leticia   	7	F	wintergreen         	Healthy
Emlynne   	6	F	deep sea blue       	Healthy
Celka     	6	F	wintergreen         	Healthy
Gaven     	5	M	deep sea blue       	Healthy
Leigh     	5	F	wintergreen         	Healthy
Huntley   	5	M	deep sea blue       	Healthy
Orly      	5	F	wintergreen         	Healthy
Tiffani   	4	F	deep sea blue       	Healthy
Orrin     	4	M	wintergreen         	Healthy
Wenona    	4	F	deep sea blue       	Healthy
Bab       	4	F	wintergreen         	Healthy
Hercules  	4	M	deep sea blue       	Healthy
Shell     	4	F	wintergreen         	Healthy
Grange    	3	M	deep sea blue       	Healthy
Hamish    	3	M	wintergreen         	Healthy
Jordan    	3	F	deep sea blue       	Healthy
Carleen   	3	F	wintergreen         	Healthy
Aubrey    	3	M	deep sea blue       	Healthy
Niven     	3	M	wintergreen         	Healthy
Rosemaria 	3	F	wintergreen         	Healthy
Aluin     	3	M	wintergreen         	Healthy
Ulberto   	2	M	deep sea blue       	Healthy
Misha     	2	F	wintergreen         	Healthy
Leoine    	2	F	deep sea blue       	Healthy
Dayle     	2	F	wintergreen         	Healthy
Padget    	2	M	deep sea blue       	Healthy
Manfred   	2	M	wintergreen         	Healthy
Gordon    	2	M	wintergreen         	Healthy
Avril     	2	F	wintergreen         	Healthy
Orville   	2	M	deep sea blue       	Healthy
Kaylil    	2	F	deep sea blue       	Healthy
Denna     	2	F	wintergreen         	Healthy
Fay       	2	F	wintergreen         	Healthy
Hermy     	1	M	deep sea blue       	Healthy
Bevon     	1	M	wintergreen         	Healthy
Dana      	1	M	deep sea blue       	Healthy
Lona      	1	F	wintergreen         	Healthy
Donelle   	1	F	deep sea blue       	Healthy
Joey      	1	F	wintergreen         	Healthy
Retha     	1	F	wintergreen         	Healthy
Ricki     	1	F	wintergreen         	Healthy
Salomo    	1	M	deep sea blue       	Healthy
Sherwood  	1	M	deep sea blue       	Healthy
Nariko    	1	F	wintergreen         	Healthy
Tiffany   	1	F	wintergreen         	Healthy
Timothea  	1	F	deep sea blue       	Healthy
Hershel   	1	M	wintergreen         	Healthy
Rory      	1	F	wintergreen         	Healthy
Dud       	0	M	deep sea blue       	Healthy
Ronnica   	0	F	wintergreen         	Healthy
Leesa     	0	F	deep sea blue       	Healthy
Christie  	0	M	wintergreen         	Healthy
Cicily    	0	F	deep sea blue       	Healthy
Justis    	0	M	wintergreen         	Healthy
Goddart   	0	M	wintergreen         	Healthy
Minnaminnie	0	F	wintergreen         	Healthy
Isidro    	0	M	deep sea blue       	Healthy
Jobey     	0	F	deep sea blue       	Healthy
Brynn     	0	F	wintergreen         	Healthy
Persis    	0	F	wintergreen         	Healthy
Avrom     	0	M	deep sea blue       	Healthy
Cosme     	0	M	wintergreen         	Healthy
Allene    	0	F	wintergreen         	Healthy
Natty     	0	M	wintergreen         	Healthy
Bethany   	0	F	deep sea blue       	Healthy
Nari      	0	F	wintergreen         	Healthy
Hestia    	0	F	wintergreen         	Healthy
Randee    	0	F	deep sea blue       	Healthy
Linet     	0	F	wintergreen         	Healthy
Hollis    	0	M	wintergreen         	Healthy
Rafaello  	10	M	bubblegum pink      	Healthy
Ingemar   	10	M	cerulean blue       	Healthy
Victor    	10	M	blue with a hint of purple	Healthy
Junette   	10	F	deep sea blue       	Healthy
Joanna    	10	F	wintergreen         	Healthy
Deloria   	8	F	deep sea blue       	Healthy
Leticia   	8	F	wintergreen         	Healthy
Emlynne   	7	F	deep sea blue       	Healthy
Celka     	7	F	wintergreen         	Healthy
Gaven     	6	M	deep sea blue       	Healthy
Leigh     	6	F	wintergreen         	Healthy
Huntley   	6	M	deep sea blue       	Healthy
Orly      	6	F	wintergreen         	Healthy
Tiffani   	5	F	deep sea blue       	Healthy
Orrin     	5	M	wintergreen         	Healthy
Wenona    	5	F	deep sea blue       	Healthy
Bab       	5	F	wintergreen         	Healthy
Hercules  	5	M	deep sea blue       	Healthy
Shell     	5	F	wintergreen         	Healthy
Grange    	4	M	deep sea blue       	Healthy
Hamish    	4	M	wintergreen         	Healthy
Jordan    	4	F	deep sea blue       	Healthy
Carleen   	4	F	wintergreen         	Healthy
Aubrey    	4	M	deep sea blue       	Healthy
Niven     	4	M	wintergreen         	Healthy
Rosemaria 	4	F	wintergreen         	Healthy
Aluin     	4	M	wintergreen         	Healthy
Ulberto   	3	M	deep sea blue       	Healthy
Misha     	3	F	wintergreen         	Healthy
Leoine    	3	F	deep sea blue       	Healthy
Dayle     	3	F	wintergreen         	Healthy
Padget    	3	M	deep sea blue       	Healthy
Manfred   	3	M	wintergreen         	Healthy
Gordon    	3	M	wintergreen         	Healthy
Avril     	3	F	wintergreen         	Healthy
Orville   	3	M	deep sea blue       	Healthy
Kaylil    	3	F	deep sea blue       	Healthy
Denna     	3	F	wintergreen         	Healthy
Fay       	3	F	wintergreen         	Healthy
Hermy     	2	M	deep sea blue       	Healthy
Bevon     	2	M	wintergreen         	Healthy
Dana      	2	M	deep sea blue       	Healthy
Lona      	2	F	wintergreen         	Healthy
Donelle   	2	F	deep sea blue       	Healthy
Joey      	2	F	wintergreen         	Healthy
Retha     	2	F	wintergreen         	Healthy
Ricki     	2	F	wintergreen         	Healthy
Salomo    	2	M	deep sea blue       	Healthy
Sherwood  	2	M	deep sea blue       	Healthy
Nariko    	2	F	wintergreen         	Healthy
Tiffany   	2	F	wintergreen         	Healthy
Timothea  	2	F	deep sea blue       	Healthy
Hershel   	2	M	wintergreen         	Healthy
Rory      	2	F	wintergreen         	Healthy
Dud       	1	M	deep sea blue       	Healthy
Ronnica   	1	F	wintergreen         	Healthy
Leesa     	1	F	deep sea blue       	Healthy
Christie  	1	M	wintergreen         	Healthy
Cicily    	1	F	deep sea blue       	Healthy
Justis    	1	M	wintergreen         	Healthy
Goddart   	1	M	wintergreen         	Healthy
Minnaminnie	1	F	wintergreen         	Healthy
Isidro    	1	M	deep sea blue       	Healthy
Jobey     	1	F	deep sea blue       	Healthy
Brynn     	1	F	wintergreen         	Healthy
Persis    	1	F	wintergreen         	Healthy
Avrom     	1	M	deep sea blue       	Healthy
Cosme     	1	M	wintergreen         	Healthy
Allene    	1	F	wintergreen         	Healthy
Natty     	1	M	wintergreen         	Healthy
Bethany   	1	F	deep sea blue       	Healthy
Nari      	1	F	wintergreen         	Healthy
Hestia    	1	F	wintergreen         	Healthy
Randee    	1	F	deep sea blue       	Healthy
Linet     	1	F	wintergreen         	Healthy
Hollis    	1	M	wintergreen         	Healthy
Farlee    	0	M	deep sea blue       	Healthy
Ashley    	0	M	wintergreen         	Healthy
Gayleen   	0	F	deep sea blue       	Healthy
Hendrik   	0	M	wintergreen         	Healthy
Sawyere   	0	M	deep sea blue       	Radioactive
Alano     	0	M	wintergreen         	Healthy
Florrie   	0	F	wintergreen         	Healthy
Darb      	0	F	wintergreen         	Healthy
Laural    	0	F	deep sea blue       	Healthy
Tedi      	0	F	deep sea blue       	Healthy
Lacie     	0	F	wintergreen         	Healthy
Dominica  	0	F	wintergreen         	Healthy
Devondra  	0	F	deep sea blue       	Healthy
Christoffer	0	M	wintergreen         	Healthy
Barney    	0	M	wintergreen         	Healthy
Massimiliano	0	M	wintergreen         	Healthy
Shelby    	0	F	deep sea blue       	Healthy
Eb        	0	M	wintergreen         	Healthy
Colan     	0	M	wintergreen         	Healthy
Barbaraanne	0	F	deep sea blue       	Healthy
Christophe	0	M	wintergreen         	Healthy
Lianne    	0	F	wintergreen         	Healthy
Leyla     	0	F	wintergreen         	Healthy
Simonne   	0	F	deep sea blue       	Healthy
Tracie    	0	M	wintergreen         	Healthy
Timotheus 	0	M	wintergreen         	Healthy
Magda     	0	F	wintergreen         	Healthy
Bendick   	0	M	wintergreen         	Healthy
Berti     	0	F	wintergreen         	Healthy
Leodora   	0	F	deep sea blue       	Healthy
Erhart    	0	M	wintergreen         	Healthy
Deloria   	9	F	deep sea blue       	Healthy
Leticia   	9	F	wintergreen         	Healthy
Emlynne   	8	F	deep sea blue       	Healthy
Celka     	8	F	wintergreen         	Healthy
Gaven     	7	M	deep sea blue       	Healthy
Leigh     	7	F	wintergreen         	Healthy
Huntley   	7	M	deep sea blue       	Healthy
Orly      	7	F	wintergreen         	Healthy
Tiffani   	6	F	deep sea blue       	Healthy
Orrin     	6	M	wintergreen         	Healthy
Wenona    	6	F	deep sea blue       	Healthy
Bab       	6	F	wintergreen         	Healthy
Hercules  	6	M	deep sea blue       	Healthy
Shell     	6	F	wintergreen         	Healthy
Grange    	5	M	deep sea blue       	Healthy
Hamish    	5	M	wintergreen         	Healthy
Jordan    	5	F	deep sea blue       	Healthy
Carleen   	5	F	wintergreen         	Healthy
Aubrey    	5	M	deep sea blue       	Healthy
Niven     	5	M	wintergreen         	Healthy
Rosemaria 	5	F	wintergreen         	Healthy
Aluin     	5	M	wintergreen         	Healthy
Ulberto   	4	M	deep sea blue       	Healthy
Misha     	4	F	wintergreen         	Healthy
Leoine    	4	F	deep sea blue       	Healthy
Dayle     	4	F	wintergreen         	Healthy
Padget    	4	M	deep sea blue       	Healthy
Manfred   	4	M	wintergreen         	Healthy
Gordon    	4	M	wintergreen         	Healthy
Avril     	4	F	wintergreen         	Healthy
Orville   	4	M	deep sea blue       	Healthy
Kaylil    	4	F	deep sea blue       	Healthy
Denna     	4	F	wintergreen         	Healthy
Fay       	4	F	wintergreen         	Healthy
Hermy     	3	M	deep sea blue       	Healthy
Bevon     	3	M	wintergreen         	Radioactive
Dana      	3	M	deep sea blue       	Healthy
Lona      	3	F	wintergreen         	Healthy
Donelle   	3	F	deep sea blue       	Healthy
Joey      	3	F	wintergreen         	Healthy
Retha     	3	F	wintergreen         	Healthy
Ricki     	3	F	wintergreen         	Healthy
Salomo    	3	M	deep sea blue       	Healthy
Sherwood  	3	M	deep sea blue       	Healthy
Nariko    	3	F	wintergreen         	Healthy
Tiffany   	3	F	wintergreen         	Healthy
Timothea  	3	F	deep sea blue       	Healthy
Hershel   	3	M	wintergreen         	Healthy
Rory      	3	F	wintergreen         	Healthy
Dud       	2	M	deep sea blue       	Healthy
Ronnica   	2	F	wintergreen         	Healthy
Leesa     	2	F	deep sea blue       	Healthy
Christie  	2	M	wintergreen         	Healthy
Cicily    	2	F	deep sea blue       	Healthy
Justis    	2	M	wintergreen         	Healthy
Goddart   	2	M	wintergreen         	Healthy
Minnaminnie	2	F	wintergreen         	Healthy
Isidro    	2	M	deep sea blue       	Healthy
Jobey     	2	F	deep sea blue       	Healthy
Brynn     	2	F	wintergreen         	Healthy
Persis    	2	F	wintergreen         	Healthy
Avrom     	2	M	deep sea blue       	Healthy
Cosme     	2	M	wintergreen         	Healthy
Allene    	2	F	wintergreen         	Healthy
Natty     	2	M	wintergreen         	Healthy
Bethany   	2	F	deep sea blue       	Healthy
Nari      	2	F	wintergreen         	Healthy
Hestia    	2	F	wintergreen         	Healthy
Randee    	2	F	deep sea blue       	Healthy
Linet     	2	F	wintergreen         	Healthy
Hollis    	2	M	wintergreen         	Healthy
Farlee    	1	M	deep sea blue       	Healthy
Ashley    	1	M	wintergreen         	Healthy
Gayleen   	1	F	deep sea blue       	Healthy
Hendrik   	1	M	wintergreen         	Healthy
Sawyere   	1	M	deep sea blue       	Radioactive
Alano     	1	M	wintergreen         	Healthy
Florrie   	1	F	wintergreen         	Healthy
Darb      	1	F	wintergreen         	Healthy
Laural    	1	F	deep sea blue       	Healthy
Tedi      	1	F	deep sea blue       	Healthy
Lacie     	1	F	wintergreen         	Healthy
Dominica  	1	F	wintergreen         	Healthy
Devondra  	1	F	deep sea blue       	Healthy
Christoffer	1	M	wintergreen         	Healthy
Barney    	1	M	wintergreen         	Healthy
Massimiliano	1	M	wintergreen         	Healthy
Shelby    	1	F	deep sea blue       	Healthy
Eb        	1	M	wintergreen         	Healthy
Colan     	1	M	wintergreen         	Healthy
Barbaraanne	1	F	deep sea blue       	Healthy
Christophe	1	M	wintergreen         	Healthy
Lianne    	1	F	wintergreen         	Healthy
Leyla     	1	F	wintergreen         	Healthy
Simonne   	1	F	deep sea blue       	Healthy
Tracie    	1	M	wintergreen         	Healthy
Timotheus 	1	M	wintergreen         	Healthy
Magda     	1	F	wintergreen         	Healthy
Bendick   	1	M	wintergreen         	Healthy
Berti     	1	F	wintergreen         	Healthy
Leodora   	1	F	deep sea blue       	Healthy
Erhart    	1	M	wintergreen         	Healthy
Vida      	0	F	deep sea blue       	Healthy
Kelly     	0	F	wintergreen         	Healthy
Tara      	0	F	deep sea blue       	Healthy
Chrissie  	0	F	wintergreen         	Healthy
Carmela   	0	F	wintergreen         	Healthy
Baxy      	0	M	wintergreen         	Healthy
Selestina 	0	F	deep sea blue       	Healthy
Alec      	0	M	deep sea blue       	Healthy
Darrin    	0	M	wintergreen         	Healthy
Consuelo  	0	F	wintergreen         	Healthy
Olag      	0	M	deep sea blue       	Healthy
Elton     	0	M	wintergreen         	Healthy
Kendricks 	0	M	wintergreen         	Healthy
Nikki     	0	M	wintergreen         	Healthy
Brear     	0	F	deep sea blue       	Healthy
Ezri      	0	M	wintergreen         	Healthy
Archer    	0	M	wintergreen         	Healthy
Trudie    	0	F	deep sea blue       	Healthy
Shepherd  	0	M	wintergreen         	Healthy
Keriann   	0	F	wintergreen         	Healthy
Jeramie   	0	M	wintergreen         	Healthy
Nike      	0	F	deep sea blue       	Healthy
Gar       	0	M	wintergreen         	Healthy
Barron    	0	M	wintergreen         	Healthy
Donn      	0	M	wintergreen         	Healthy
Dorrie    	0	F	wintergreen         	Healthy
Gordon    	0	M	wintergreen         	Healthy
Merle     	0	M	deep sea blue       	Healthy
Lion      	0	M	wintergreen         	Healthy
Tremaine  	0	M	wintergreen         	Healthy
Aldon     	0	M	deep sea blue       	Healthy
Prentiss  	0	M	deep sea blue       	Radioactive
Lorraine  	0	F	wintergreen         	Healthy
Leeanne   	0	F	deep sea blue       	Healthy
Leigh     	0	M	wintergreen         	Healthy
Alexis    	0	M	wintergreen         	Healthy
Raul      	0	M	wintergreen         	Healthy
Charley   	0	M	deep sea blue       	Healthy
Aguistin  	0	M	wintergreen         	Healthy
Aviva     	0	F	wintergreen         	Healthy
Rosamund  	0	F	deep sea blue       	Healthy
Diane-Marie	0	F	wintergreen         	Healthy
Deloria   	10	F	deep sea blue       	Healthy
Leticia   	10	F	wintergreen         	Healthy
Emlynne   	9	F	deep sea blue       	Healthy
Celka     	9	F	wintergreen         	Healthy
Gaven     	8	M	deep sea blue       	Healthy
Leigh     	8	F	wintergreen         	Healthy
Huntley   	8	M	deep sea blue       	Healthy
Orly      	8	F	wintergreen         	Healthy
Tiffani   	7	F	deep sea blue       	Healthy
Orrin     	7	M	wintergreen         	Healthy
Wenona    	7	F	deep sea blue       	Healthy
Bab       	7	F	wintergreen         	Healthy
Hercules  	7	M	deep sea blue       	Healthy
Shell     	7	F	wintergreen         	Healthy
Grange    	6	M	deep sea blue       	Healthy
Hamish    	6	M	wintergreen         	Healthy
Jordan    	6	F	deep sea blue       	Healthy
Carleen   	6	F	wintergreen         	Healthy
Aubrey    	6	M	deep sea blue       	Healthy
Niven     	6	M	wintergreen         	Healthy
Rosemaria 	6	F	wintergreen         	Healthy
Aluin     	6	M	wintergreen         	Healthy
Ulberto   	5	M	deep sea blue       	Healthy
Misha     	5	F	wintergreen         	Healthy
Leoine    	5	F	deep sea blue       	Healthy
Dayle     	5	F	wintergreen         	Healthy
Padget    	5	M	deep sea blue       	Healthy
Manfred   	5	M	wintergreen         	Healthy
Gordon    	5	M	wintergreen         	Healthy
Avril     	5	F	wintergreen         	Healthy
Orville   	5	M	deep sea blue       	Radioactive
Kaylil    	5	F	deep sea blue       	Healthy
Denna     	5	F	wintergreen         	Healthy
Fay       	5	F	wintergreen         	Healthy
Hermy     	4	M	deep sea blue       	Healthy
Bevon     	4	M	wintergreen         	Radioactive
Dana      	4	M	deep sea blue       	Healthy
Lona      	4	F	wintergreen         	Healthy
Donelle   	4	F	deep sea blue       	Healthy
Joey      	4	F	wintergreen         	Healthy
Retha     	4	F	wintergreen         	Healthy
Ricki     	4	F	wintergreen         	Healthy
Salomo    	4	M	deep sea blue       	Healthy
Sherwood  	4	M	deep sea blue       	Healthy
Nariko    	4	F	wintergreen         	Healthy
Tiffany   	4	F	wintergreen         	Healthy
Timothea  	4	F	deep sea blue       	Healthy
Hershel   	4	M	wintergreen         	Healthy
Rory      	4	F	wintergreen         	Healthy
Dud       	3	M	deep sea blue       	Healthy
Ronnica   	3	F	wintergreen         	Healthy
Leesa     	3	F	deep sea blue       	Healthy
Christie  	3	M	wintergreen         	Healthy
Cicily    	3	F	deep sea blue       	Healthy
Justis    	3	M	wintergreen         	Healthy
Goddart   	3	M	wintergreen         	Healthy
Minnaminnie	3	F	wintergreen         	Radioactive
Isidro    	3	M	deep sea blue       	Healthy
Jobey     	3	F	deep sea blue       	Healthy
Brynn     	3	F	wintergreen         	Healthy
Persis    	3	F	wintergreen         	Healthy
Avrom     	3	M	deep sea blue       	Healthy
Cosme     	3	M	wintergreen         	Healthy
Allene    	3	F	wintergreen         	Healthy
Natty     	3	M	wintergreen         	Healthy
Bethany   	3	F	deep sea blue       	Healthy
Nari      	3	F	wintergreen         	Healthy
Hestia    	3	F	wintergreen         	Healthy
Randee    	3	F	deep sea blue       	Healthy
Linet     	3	F	wintergreen         	Healthy
Hollis    	3	M	wintergreen         	Healthy
Farlee    	2	M	deep sea blue       	Healthy
Ashley    	2	M	wintergreen         	Healthy
Gayleen   	2	F	deep sea blue       	Healthy
Hendrik   	2	M	wintergreen         	Healthy
Sawyere   	2	M	deep sea blue       	Radioactive
Alano     	2	M	wintergreen         	Healthy
Florrie   	2	F	wintergreen         	Healthy
Darb      	2	F	wintergreen         	Healthy
Laural    	2	F	deep sea blue       	Healthy
Tedi      	2	F	deep sea blue       	Healthy
Lacie     	2	F	wintergreen         	Healthy
Dominica  	2	F	wintergreen         	Healthy
Devondra  	2	F	deep sea blue       	Healthy
Christoffer	2	M	wintergreen         	Healthy
Barney    	2	M	wintergreen         	Healthy
Massimiliano	2	M	wintergreen         	Healthy
Shelby    	2	F	deep sea blue       	Healthy
Eb        	2	M	wintergreen         	Healthy
Colan     	2	M	wintergreen         	Healthy
Barbaraanne	2	F	deep sea blue       	Healthy
Christophe	2	M	wintergreen         	Healthy
Lianne    	2	F	wintergreen         	Healthy
Leyla     	2	F	wintergreen         	Healthy
Simonne   	2	F	deep sea blue       	Healthy
Tracie    	2	M	wintergreen         	Healthy
Timotheus 	2	M	wintergreen         	Healthy
Magda     	2	F	wintergreen         	Healthy
Bendick   	2	M	wintergreen         	Healthy
Berti     	2	F	wintergreen         	Healthy
Leodora   	2	F	deep sea blue       	Healthy
Erhart    	2	M	wintergreen         	Healthy
Vida      	1	F	deep sea blue       	Healthy
Kelly     	1	F	wintergreen         	Healthy
Tara      	1	F	deep sea blue       	Healthy
Chrissie  	1	F	wintergreen         	Healthy
Carmela   	1	F	wintergreen         	Healthy
Baxy      	1	M	wintergreen         	Healthy
Selestina 	1	F	deep sea blue       	Healthy
Alec      	1	M	deep sea blue       	Healthy
Darrin    	1	M	wintergreen         	Healthy
Consuelo  	1	F	wintergreen         	Healthy
Olag      	1	M	deep sea blue       	Healthy
Elton     	1	M	wintergreen         	Healthy
Kendricks 	1	M	wintergreen         	Healthy
Nikki     	1	M	wintergreen         	Healthy
Brear     	1	F	deep sea blue       	Healthy
Ezri      	1	M	wintergreen         	Healthy
Archer    	1	M	wintergreen         	Healthy
Trudie    	1	F	deep sea blue       	Healthy
Shepherd  	1	M	wintergreen         	Healthy
Keriann   	1	F	wintergreen         	Healthy
Jeramie   	1	M	wintergreen         	Healthy
Nike      	1	F	deep sea blue       	Healthy
Gar       	1	M	wintergreen         	Healthy
